#ID Mini F275Wmag F275Werr F275Wdet F336Wmag F336Werr F336Wdet F438Wmag F438Werr F438Wdet F555Wmag F555Werr F555Wdet F625Wmag F625Werr F625Wdet F814Wmag F814Werr F814Wdet
1 18.0912094116   27.000 0.10 0   25.354 0.11 1   24.237 0.05 1   23.074 0.03 1   22.482 0.02 1   21.932 0.01 1
2 13.7966737747   23.975 0.12 2   24.587 0.08 1   26.156 0.07 1   26.341 0.06 1   26.472 0.05 1   26.669 0.08 1
3 9.00000000000   25.665 0.20 1   26.220 0.12 1   27.651 0.08 1   27.818 0.09 1   27.500 0.10 0   27.500 0.10 0
#1 18.0912094116   27.000 0.10 0   25.354 0.11 1   24.237 0.05 1   23.074 0.03 1   22.482 0.02 1   21.932 0.01 1
#2 13.7966737747   23.975 0.12 1   24.587 0.08 1   26.156 0.07 1   26.341 0.06 1   26.472 0.05 1   26.669 0.08 1
#3 9.00000000000   25.665 0.20 1   26.220 0.12 1   27.651 0.08 1   27.818 0.09 1   27.500 0.10 0   27.500 0.10 0
#1 18.0912094116   27.000 0.10 0   25.354 0.11 1   24.237 0.05 1   23.074 0.03 1   22.482 0.02 1   21.932 0.01 1
#2 13.7966737747   23.975 0.12 1   24.587 0.08 1   26.156 0.07 1   26.341 0.06 1   26.472 0.05 1   26.669 0.08 1
#3 9.00000000000   25.665 0.20 1   26.220 0.12 1   27.651 0.08 1   27.818 0.09 1   27.500 0.10 0   27.500 0.10 0
#1 18.0912094116   27.000 0.10 0   25.354 0.11 1   24.237 0.05 1   23.074 0.03 1   22.482 0.02 1   21.932 0.01 1
#2 13.7966737747   23.975 0.12 1   24.587 0.08 1   26.156 0.07 1   26.341 0.06 1   26.472 0.05 1   26.669 0.08 1
#3 9.00000000000   25.665 0.20 1   26.220 0.12 1   27.651 0.08 1   27.818 0.09 1   27.500 0.10 0   27.500 0.10 0
